Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
emailswrong,consent_baseline,,radio,It looks like one of the two emails above doesn't match! Please double check your work :) ,"1, Go back and make sure the emails are the same!",,,,,,[email_rpt] <> [email_rpt_2],y,,,,, @READONLY
save_submit,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">If you want to take a break and return later </span><span style=""text-decoration: underline;"">you must hit ""save and submit later"" at the bottom </span><span style=""font-weight: normal;"">and send yourself a link to </span>continue where you left off<span style=""font-weight: normal;""> OR </span><span style=""text-decoration: underline;"">bookmark the page</span></p> <p><span style=""text-decoration: underline;"">Exiting the window will end your study early </span><em><span style=""font-weight: normal;"">and you might not get paid!</span> </em><span style=""font-weight: normal;"">If this happens, you must email <a href=""mailto:maximillian.greenwald@yale.edu"" target=""_blank"" rel=""noopener"">maximillian.greenwald@yale.edu</a> to request a link back and </span>include your unique record ID: [record_id]</p> <p> </p> <p><span style=""font-weight: normal;"">Do you understand?</span></p></div>",,,,,,,,y,,,,,
questions_consent,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Do you have </span>any questions <span style=""font-weight: normal;"">regarding the study or consent form before proceeding?</span></p></div>",,,,,,,,y,,,,,
questions_email,consent_baseline,,notes,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Questions are welcome via email sent to </span><a href=""mailto:maximillian.greenwald@yale.edu"">maximillian.greenwald@yale.edu</a><span style=""font-weight: normal;"">, or </span><a href=""mailto:powers.lab@yale.edu"">powers.lab@yale.edu</a><span style=""font-weight: normal;"">. </span></p> <p><span style=""font-weight: normal;"">We would be happy to set up a zoom call to talk through any questions or concerns you might have! </span></p> <p><span style=""font-weight: normal;"">:) </span></p> <p>Otherwise, you can post your question below along with your preferred method of contact and then SAVE YOUR ANSWERS -- Max will get an emailed notification and get back to you as soon as possible :) </p></div>",,,,,,,[questions_consent]='1',,,,,,
planning_trip,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal; font-size: 12pt;"">Are you sure that you </span><span style=""font-size: 12pt;"">anticipate</span><span style=""font-weight: normal; font-size: 12pt;""> using a </span><span style=""font-size: 12pt;"">mAcrodose</span><span style=""font-weight: normal; font-size: 12pt;""> of a</span><span style=""font-size: 12pt;""><a href=""https://en.wikipedia.org/wiki/List_of_psychedelic_drugs""> serotonergic psychedelic</a></span><span style=""font-weight: normal; font-size: 12pt;""> (psilocybin/magic mushrooms, LSD, mescaline, peyote, DMT, Ayahuasca, etc.) </span><span style=""font-size: 12pt;"">BEFORE OCTBOER 2026</span><span style=""font-weight: normal; font-size: 12pt;"">?</span></p></div>",,,,,,,,y,,,,,
consent_agree,consent_baseline,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">By clicking the box below, you are agreeing to take part in this study.</span></p></div>","1, Yes, I agree to participate in this study",,,,,,,y,,,,,
agree_instructions,consent_baseline,,yesno,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Before continuing, please </span>make sure you are in a quiet, private, distraction-free place<span style=""font-weight: normal;"">. </span></p> <p><span style=""font-weight: normal;"">Make sure you use the </span>same headphones<span style=""font-weight: normal;""> and a </span>computer monitor<span style=""font-weight: normal;""> (<em>not a smartphone or table</em>)</span> throughout.</p> <p><span style=""font-weight: normal;"">Make sure you are in a </span>private browsing window (eg. Incognito, Private Browsing, Private Window)<span style=""font-weight: normal;""> -- </span><em>you can copy and paste your current URL into the address bar in a private browsing window to continue the survey in a private browsing window.</em></p> <p><span style=""font-weight: normal;"">Though you can save your progress at any time and finish later, please try to </span>finish within 24 hours</p> <p><span style=""text-decoration: underline;"">Do you agree to follow these rules?</span></p></div>",,,,,,,[consent_agree]='1',y,,,,,
consent_contact_screen,consent_baseline,,radio,"<div class=""rich-text-field-label""><p>Optional Consent for Future Contact:<br /><br /><span style=""font-weight: normal;"">The following research activity is optional, meaning that you do not have to agree to it to participate in the research study. Please indicate your willingness to participate in this optional activity. </span><br /><br /><span style=""font-weight: normal;"">The researcher may contact you in the future to notify you about your</span> participation in this study (eg. changed eligibility requirements)<span style=""font-weight: normal;""> and/or to see whether you are</span> interested in participating in other research<span style=""font-weight: normal;""> studies by the Principal Investigator of this study. </span></p> <p><span style=""font-weight: normal;"">Please select the button below to indicate </span>whether you are open to being contacted in the future<span style=""font-weight: normal;"">. </span></p></div>","1, I agree to be contacted in the future regarding this and other studies.|2, I do not want to be contacted in the future regarding this and other studies.",,,,,,,y,,,,,
email_addtl_contact,consent_baseline,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please enter the </span>email address<span style=""font-weight: normal;""> you would like the Powers Lab</span> researchers to use to contact you</p></div>",,,email,,,,[consent_contact_screen]=1,,,,,,
random_rpt,consent_baseline,,calc,Randomizes participants to 1 of 24 random group orders based on record ID. ,(([record_id] - 1) - (rounddown(([record_id] - 1)/24) * 24)) + 1,,,,,,,,,,,, @HIDDEN-SURVEY
consent_url,consent_baseline,,text,Instrument URL,,,,,,,,,,,,, @CALCTEXT([form-url:instrument]) @HIDDEN-SURVEY
pay_url,consent_baseline,,text,Payment URL,,,,,,,,,,,,, @CALCTEXT([form-url:payment_form]) @HIDDEN-SURVEY
payment_url_hyp,consent_baseline,,text,Instrument URL,,,,,,,,,,,,, @CALCTEXT([form-url:payment_form_hyp]) @HIDDEN-SURVEY
payment_url_acu,consent_baseline,,text,Instrument URL,,,,,,,,,,,,, @CALCTEXT([form-url:payment_form_acu]) @HIDDEN-SURVEY
payment_url_pers,consent_baseline,,text,Instrument URL,,,,,,,,,,,,, @CALCTEXT([form-url:payment_form_pers]) @HIDDEN-SURVEY
payment_url_sub,consent_baseline,,text,Instrument URL,,,,,,,,,,,,, @CALCTEXT([form-url:payment_form_sub]) @HIDDEN-SURVEY
encrypted_metadata_uri,consent_baseline,,notes,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN
tdlbl_001,consent_baseline,,descriptive,task_data_auditory_qualifying_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_002,consent_baseline,,descriptive,task_data_visual_qualifying_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_visual_qualifying_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
achcomplete_2,consent_baseline,,descriptive,vis_qual,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_visual_qualifying,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_003,consent_baseline,,descriptive,task_data_auditory_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
achcomplete,consent_baseline,,descriptive,ach_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_ach_task_short_baseline_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
vchshortd1,consent_baseline,,descriptive,vchshortd1:,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_vchshortd1,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
vchshortd2,consent_baseline,,descriptive,vchshortd1_complete:,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_vchshortd1_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
vchshortd3,consent_baseline,,descriptive,auditory qualifying,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
labelach,consent_baseline,,descriptive,ach_task,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_ach_task_short_baseline,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
label_vch,consent_baseline,,descriptive,vch,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_vch_short_psychedelic_bl,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_004,consent_baseline,,descriptive,task_data_visual_redo,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_visual_redo,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
labelfisher,consent_baseline,,descriptive,fishertask,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask_bl,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
vch_complete,consent_baseline,,text,vch_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_005,consent_baseline,,descriptive,task_data_vch_short_psychedelic_bl_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_vch_short_psychedelic_bl_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
fishercomplete,consent_baseline,,descriptive,fisher_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask_bl_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
fishercomplete_2,consent_baseline,,descriptive,vis_qual_ach,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_visual_qualifying_task_2,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_006,consent_baseline,,descriptive,task_data_visual_qualifying_task_2_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_visual_qualifying_task_2_complete,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
fishercomplete_3,consent_baseline,,descriptive,auditory_qual_ach,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying_task_2,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
fishercomplete_4,consent_baseline,,descriptive,auditory_qual_ach_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying_task_2_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_007,consent_baseline,,descriptive,task_data_auditory_qualifying_task_5,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying_task_5,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN
tdlbl_008,consent_baseline,,descriptive,task_data_auditory_qualifying_task_5_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying_task_5_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_009,consent_baseline,,descriptive,task_data_auditory_qualifying_task_6,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying_task_6,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN
tdlbl_010,consent_baseline,,descriptive,task_data_auditory_qualifying_task_6_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_auditory_qualifying_task_6_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
label_prl,consent_baseline,,descriptive,prl,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
prlcomplete,consent_baseline,,text,prl_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_011,consent_baseline,,descriptive,task_data_prltask_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
yeh,consent_baseline,,descriptive,phone_verified,,,,,,,,,,,,, @HIDDEN-SURVEY
phone_verified,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
yeh_2,consent_baseline,,descriptive,phone_number,,,,,,,,,,,,, @HIDDEN-SURVEY
phone_number,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
addon_yale_surveyurl,consent_baseline,,text,Survey URL,,,,,,,,,,,,, @CALCTEXT([survey-url:add_on_questions_yale]) @HIDDEN-SURVEY
tdlbl_012,consent_baseline,,descriptive,task_data_spacejunk_bl,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_spacejunk_bl,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_013,consent_baseline,,descriptive,task_data_spacejunk_bl_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_spacejunk_bl_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
thisisprl1,consent_baseline,,descriptive,PRL1: ,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask1,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_014,consent_baseline,,descriptive,task_data_fishertask1,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask1,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
thisisfish2,consent_baseline,,descriptive,fishertask2:,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask2,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
thisisfish3,consent_baseline,,descriptive,fishertask3:,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask3,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
thisisfish4,consent_baseline,,descriptive,fishertask4:,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask4,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
thisisfish5,consent_baseline,,descriptive,prl1_complete:,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask1_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_015,consent_baseline,,descriptive,task_data_fishertask1_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask1_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_016,consent_baseline,,descriptive,task_data_fishertask2_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask2_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_017,consent_baseline,,descriptive,task_data_fishertask3_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask3_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_018,consent_baseline,,descriptive,task_data_fishertask4_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_fishertask4_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
thisisprl2,consent_baseline,,descriptive,prl2: ,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask2,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_019,consent_baseline,,descriptive,task_data_prltask2_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask2_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
thisisprl3,consent_baseline,,descriptive,prl3: ,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask3,consent_baseline,,text,,,,,,,,,,,,,, @HIDDEN-SURVEY
tdlbl_020,consent_baseline,,descriptive,task_data_prltask3_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask3_complete,consent_baseline,,text,,,,,,,,,,,,,," @HIDDEN @DEFAULT='<font color=""red"">Incomplete</font>'"
thisisprl4,consent_baseline,,descriptive,prl4,,,,,,,,,,,,, @HIDDEN-SURVEY
task_data_prltask4,consent_baseline,,text,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,," @HIDDEN-SURVEY @DEFAULT='<font color=""red"">Incomplete</font>'"
tdlbl_021,consent_baseline,,descriptive,task_data_auditory_hyp_complete,,,,,,,,,,,,, @HIDDEN-SURVEY
